omega: 64, alpha: 1, gama: 1, const: 1, time_cost: 149.09000000000003
omega: 64, alpha: 1, gama: 1, const: 2, time_cost: 149.65999999999997
omega: 64, alpha: 1, gama: 1, const: 4, time_cost: 150.1300000000001
omega: 64, alpha: 1, gama: 0.5, const: 1, time_cost: 152.43999999999983
omega: 64, alpha: 1, gama: 0.5, const: 2, time_cost: 155.75
omega: 64, alpha: 1, gama: 0.5, const: 4, time_cost: 157.35000000000014
omega: 64, alpha: 1, gama: 0.125, const: 1, time_cost: 154.51999999999998
omega: 64, alpha: 1, gama: 0.125, const: 2, time_cost: 155.53999999999996
omega: 64, alpha: 1, gama: 0.125, const: 4, time_cost: 157.28999999999996
omega: 64, alpha: 0.5, gama: 1, const: 1, time_cost: 151.1099999999999
omega: 64, alpha: 0.5, gama: 1, const: 2, time_cost: 151.44999999999982
omega: 64, alpha: 0.5, gama: 1, const: 4, time_cost: 152.6500000000001
omega: 64, alpha: 0.5, gama: 0.5, const: 1, time_cost: 154.7800000000002
omega: 64, alpha: 0.5, gama: 0.5, const: 2, time_cost: 155.52999999999975
omega: 64, alpha: 0.5, gama: 0.5, const: 4, time_cost: 157.37999999999965
omega: 64, alpha: 0.5, gama: 0.125, const: 1, time_cost: 154.02000000000044
omega: 64, alpha: 0.5, gama: 0.125, const: 2, time_cost: 155.78999999999996
omega: 64, alpha: 0.5, gama: 0.125, const: 4, time_cost: 156.05999999999995
omega: 64, alpha: 0.125, gama: 1, const: 1, time_cost: 151.50999999999976
omega: 64, alpha: 0.125, gama: 1, const: 2, time_cost: 150.96000000000004
omega: 64, alpha: 0.125, gama: 1, const: 4, time_cost: 151.32999999999993
omega: 64, alpha: 0.125, gama: 0.5, const: 1, time_cost: 154.44000000000005
omega: 64, alpha: 0.125, gama: 0.5, const: 2, time_cost: 154.87999999999965
omega: 64, alpha: 0.125, gama: 0.5, const: 4, time_cost: 156.15000000000055
omega: 64, alpha: 0.125, gama: 0.125, const: 1, time_cost: 153.9300000000003
omega: 64, alpha: 0.125, gama: 0.125, const: 2, time_cost: 154.66999999999916
omega: 64, alpha: 0.125, gama: 0.125, const: 4, time_cost: 156.80000000000018
omega: 128, alpha: 1, gama: 1, const: 1, time_cost: 349.3699999999999
omega: 128, alpha: 1, gama: 1, const: 2, time_cost: 351.7600000000002
omega: 128, alpha: 1, gama: 1, const: 4, time_cost: 351.9899999999998
omega: 128, alpha: 1, gama: 0.5, const: 1, time_cost: 344.6999999999998
omega: 128, alpha: 1, gama: 0.5, const: 2, time_cost: 346.59000000000015
omega: 128, alpha: 1, gama: 0.5, const: 4, time_cost: 348.6300000000001
omega: 128, alpha: 1, gama: 0.125, const: 1, time_cost: 341.15999999999985
omega: 128, alpha: 1, gama: 0.125, const: 2, time_cost: 342.8600000000006
omega: 128, alpha: 1, gama: 0.125, const: 4, time_cost: 344.71999999999935
omega: 128, alpha: 0.5, gama: 1, const: 1, time_cost: 350.27000000000044
omega: 128, alpha: 0.5, gama: 1, const: 2, time_cost: 360.9400000000005
omega: 128, alpha: 0.5, gama: 1, const: 4, time_cost: 352.869999999999
omega: 128, alpha: 0.5, gama: 0.5, const: 1, time_cost: 341.14000000000124
omega: 128, alpha: 0.5, gama: 0.5, const: 2, time_cost: 353.2099999999991
omega: 128, alpha: 0.5, gama: 0.5, const: 4, time_cost: 342.0100000000002
omega: 128, alpha: 0.5, gama: 0.125, const: 1, time_cost: 333.0100000000002
omega: 128, alpha: 0.5, gama: 0.125, const: 2, time_cost: 342.4899999999998
omega: 128, alpha: 0.5, gama: 0.125, const: 4, time_cost: 343.9400000000005
omega: 128, alpha: 0.125, gama: 1, const: 1, time_cost: 345.869999999999
omega: 128, alpha: 0.125, gama: 1, const: 2, time_cost: 344.71000000000095
omega: 128, alpha: 0.125, gama: 1, const: 4, time_cost: 344.6700000000001
omega: 128, alpha: 0.125, gama: 0.5, const: 1, time_cost: 342.5199999999986
omega: 128, alpha: 0.125, gama: 0.5, const: 2, time_cost: 344.2399999999998
omega: 128, alpha: 0.125, gama: 0.5, const: 4, time_cost: 345.83000000000175
omega: 128, alpha: 0.125, gama: 0.125, const: 1, time_cost: 338.4900000000016
omega: 128, alpha: 0.125, gama: 0.125, const: 2, time_cost: 340.28999999999905
omega: 128, alpha: 0.125, gama: 0.125, const: 4, time_cost: 343.0699999999997
[2019-03-29 18:12:37] INFO [start_adjust_arg: AdjustArg.py, 97] Best time cost: 149.09000000000003, alpha: 1 gama: 1, omega: 64, const: 1


