#(id,from,to,speed,planTime)
(10000, 11, 35, 4, 1)
(10001, 26, 3, 4, 1)
(10002, 14, 35, 4, 1)
(10003, 32, 13, 4, 1)
(10004, 4, 23, 4, 1)
(10005, 27, 5, 6, 1)
(10006, 14, 32, 4, 1)
(10007, 8, 30, 2, 1)
(10008, 5, 26, 4, 1)
(10009, 32, 12, 2, 1)
(10010, 4, 31, 4, 1)
(10011, 30, 3, 2, 1)
(10012, 27, 2, 6, 1)
(10013, 34, 7, 6, 1)
(10014, 10, 34, 6, 1)
(10015, 20, 1, 2, 1)
(10016, 23, 3, 2, 1)
(10017, 31, 11, 2, 1)
(10018, 14, 36, 4, 1)
(10019, 16, 36, 6, 1)
(10020, 30, 4, 4, 1)
(10021, 32, 4, 2, 1)
(10022, 18, 36, 6, 1)
(10023, 33, 1, 2, 1)
(10024, 32, 12, 6, 1)
(10025, 19, 1, 6, 1)
(10026, 36, 18, 6, 1)
(10027, 26, 8, 6, 1)
(10028, 27, 4, 4, 1)
(10029, 31, 11, 6, 1)
(10030, 7, 36, 2, 1)
(10031, 19, 1, 6, 1)
(10032, 25, 2, 6, 1)
(10033, 22, 4, 6, 1)
(10034, 17, 35, 4, 1)
(10035, 36, 12, 6, 1)
(10036, 17, 36, 2, 1)
(10037, 23, 4, 2, 1)
(10038, 8, 34, 6, 1)
(10039, 10, 32, 2, 1)
(10040, 18, 36, 4, 1)
(10041, 11, 34, 4, 1)
(10042, 7, 30, 6, 1)
(10043, 9, 35, 6, 1)
(10044, 31, 5, 4, 1)
(10045, 18, 36, 6, 1)
(10046, 14, 35, 6, 1)
(10047, 8, 30, 2, 1)
(10048, 10, 35, 2, 1)
(10049, 26, 6, 2, 1)
(10050, 28, 3, 2, 1)
